Time,Dog_bark,Bark_back
1657853354,1,0
1657853385,1,0
1657853386,1,0
1657853387,1,0
1657853388,1,0
1657853389,1,0
1657853390,1,0
1657853391,1,0
1657853392,1,0
1657853393,1,0
1657853393,1,0
1657853394,1,0
1657853395,1,0
1657853513,1,0
1657853514,1,0
1657853515,1,0
1657853516,1,0
1657853517,1,0
1657853518,1,0
1657853520,1,0
1657853525,1,0
1657853547,1,0
1657853548,1,0
1657853548,1,0
1657853549,1,0
1657853603,1,0
1657853604,1,0
1657853605,1,0
1657853625,1,0
1657853626,1,0
1657853627,1,0
1657853628,1,0
1657853629,1,0
1657853630,1,0
1657853633,1,0
1657853634,1,0
1657853635,1,0
1657853636,1,0
1657853637,1,0
1657854577,1,0
1657854577,1,0
1657854594,1,0
1657854595,1,0
1657854601,1,0
1657854602,1,0
1657854605,1,0
1657854614,1,0
1657854615,1,0
1657854616,1,0
1657854620,1,0
1657854633,1,0
1657854636,1,0
1657854640,1,0
1657854640,1,0
1657854671,1,0
1657854676,1,0
1657854677,1,0
1657854683,1,0
1657854711,1,0
1657854712,1,0
1657854713,1,0
1657854714,1,0
1657854715,1,0
1657854716,1,0
1657854717,1,0
1657854718,1,0
1657854735,1,0
1657854736,1,0
1657854736,1,0
1657854737,1,0
1657854738,1,0
1657854739,1,0
1657854744,1,0
1657854822,1,0
1657854824,1,0
1657854866,1,0
1657854867,1,0
1657854868,1,0
1657854875,1,0
1657854885,1,0
1657854887,1,0
1657854890,1,0
1657854893,1,0
1657854895,1,0
1657854906,1,0
1657854907,1,0
1657854912,1,0
1657854921,1,0
1657854925,1,0
1657854930,1,0
1657854932,1,0
1657854934,1,0
1657854943,1,0
1657854959,1,0
1657854974,1,0
1657854978,1,0
1657855029,1,0
1657855031,1,0
1657855044,1,0
1657855047,1,0
1657855048,1,0
1657855052,1,0
1657855057,1,0
1657855063,1,0
1657855064,1,0
1657855066,1,0
1657855075,1,0
1657855076,1,0
1657855078,1,0
1657855086,1,0
1657855087,1,0
1657855088,1,0
1657855093,1,0
1657855105,1,0
1657855114,1,0
1657855115,1,0
1657855116,1,0
1657855127,1,0
1657855139,1,0
1657855143,1,0
1657855149,1,0
1657855157,1,0
1657855158,1,0
1657855163,1,0
1657855183,1,0
1657855183,1,0
1657855219,1,0
1657855245,1,0
1657855249,1,0
1657855273,1,0
1657855273,1,0
1657855274,1,0
1657855275,1,0
1657855276,1,0
1657855277,1,0
1657855278,1,0
1657855282,1,0
1657855282,1,0
1657855302,1,0
1657855303,1,0
1657855309,1,0
1657855309,1,0
1657855310,1,0
1657855491,1,0
1657855541,1,0
1657855542,1,0
1657855548,1,0
1657855606,1,0
1657855607,1,0
1657855608,1,0
1657855609,1,0
1657855610,1,0
1657855611,1,0
1657855612,1,0
1657855613,1,0
1657855613,1,0
1657855614,1,0
1657855615,1,0
1657855616,1,0
1657855617,1,0
1657855618,1,0
1657855619,1,0
1657855620,1,0
1657855621,1,0
1657855622,1,0
1657855622,1,0
1657855623,1,0
1657855624,1,0
1657855625,1,0
1657855626,1,0
1657855627,1,0
1657855630,1,0
1657855631,1,0
1657855631,1,0
1657855632,1,0
1657855633,1,0
1657855634,1,0
1657855635,1,0
1657855636,1,0
1657855637,1,0
1657855638,1,0
1657855639,1,0
1657855640,1,0
1657855640,1,0
1657855641,1,0
1657855642,1,0
1657855643,1,0
1657855644,1,0
1657855646,1,0
1657855647,1,0
1657855648,1,0
1657855649,1,0
1657855650,1,0
1657855651,1,0
1657855653,1,0
1657855655,1,0
1657855657,1,0
1657855658,1,0
1657855658,1,0
1657855659,1,0
1657855660,1,0
1657855661,1,0
1657855662,1,0
1657855663,1,0
1657855665,1,0
1657855669,1,0
1657855670,1,0
1657855671,1,0
1657855674,1,0
1657855675,1,0
1657855676,1,0
1657855680,1,0
1657855683,1,0
1657855684,1,0
1657855685,1,0
1657855689,1,0
1657855690,1,0
1657855691,1,0
1657855692,1,0
1657855693,1,0
1657855695,1,0
1657855696,1,0
1657855697,1,0
1657855698,1,0
1657855703,1,0
1657855704,1,0
1657855705,1,0
1657855706,1,0
1657855711,1,0
1657855712,1,0
1657855712,1,0
1657855713,1,0
1657855715,1,0
1657855716,1,0
1657855717,1,0
1657855719,1,0
1657855721,1,0
1657855721,1,0
1657855722,1,0
1657855723,1,0
1657855724,1,0
1657855725,1,0
1657855729,1,0
1657855730,1,0
1657855730,1,0
1657855731,1,0
1657855732,1,0
1657855734,1,0
1657855735,1,0
1657855737,1,0
1657989314,1,0
1657989321,1,0
1657989322,1,0
1657989340,1,0
1657989341,1,0
1657989429,1,0
1657989524,1,0
1657989539,1,0
1657989543,1,0
1657989544,1,0
1657989547,1,0
1657989552,1,0
1657989567,1,0
1657989568,1,0
1657989610,1,0
1657989723,1,0
1657990619,1,0
1657990728,1,0
1657990732,1,0
1657990735,1,0
1657990738,1,0
1657990740,1,0
1657990741,1,0
1657990741,1,0
1657990742,1,0
1657990746,1,0
1657990747,1,0
1657990748,1,0
1657990749,1,0
1657990750,1,0
1657990784,1,0
1657990785,1,0
1657990855,1,0
1657990859,1,0
1657990867,1,0
1657990868,1,0
1657990869,1,0
1657990870,1,0
1657990871,1,0
1657990872,1,0
1657990873,1,0
1657990874,1,0
1657990877,1,0
1657990883,1,0
1657990887,1,0
1657990902,1,0
1657990911,1,0
1657990912,1,0
1657990914,1,0
1657990916,1,0
1657990917,1,0
1657990953,1,0
1657990954,1,0
1657990983,1,0
1657991002,1,0
1657991071,1,0
1657991097,1,0
1657991177,1,0
1657991177,1,0
1657991180,1,0
1657991181,1,0
1657991191,1,0
1657991192,1,0
1657991195,1,0
1657991201,1,0
1657991202,1,0
1657991210,1,0
1657991225,1,0
1657991226,1,0
1657991233,1,0
1657991234,1,0
1657991245,1,0
1657991246,1,0
1657991247,1,0
1657991248,1,0
1657991249,1,0
1657991256,1,0
1657991258,1,0
1657991267,1,0
1657991273,1,0
1657991274,1,0
1657991276,1,0
1657991279,1,0
1657991284,1,0
1657991287,1,0
1657991288,1,0
1657991290,1,0
1657991329,1,0
1657991330,1,0
1657991332,1,0
1657991336,1,0
1657991339,1,0
1657991343,1,0
1657991348,1,0
1657991350,1,0
1659306649.2847414,1,0
1659306668.1646326,1,0
1659499543.9874065,1,0
